Eje,Revista,Autor,Anio,Titulo,DOI,Citas,Decision,Motivo
ia-generativa-marketing,ACM Transactions on Computer-Human Interaction,Halperin et al.,2025,“AI is Soulless”: Hollywood Film Workers’ Strike and Emerging Perceptions of Generative Cinema,10.1145/3716135,23,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Information Systems Journal,Haki et al.,2025,Integrating Generative <scp>AI</scp> Into Enterprise Platforms: Insights From Salesforce,10.1111/isj.12593,17,descartar,fuera-de-dominio
ia-generativa-marketing,Decision Support Systems,Choudhary et al.,2025,Modeling the role of generative AI in organizational privacy and security,10.1016/j.dss.2025.114500,15,descartar,fuera-de-dominio
ia-generativa-marketing,Decision Support Systems,Zhang et al.,2025,Exploring users' post-adoption use of generative AI: An attitudinal ambivalence perspective,10.1016/j.dss.2025.114521,14,descartar,"sin-relacion-con-hueco: ambivalencia de adopcion de IA generativa en general, no aplicada a marketing/generacion de contenido"
ia-generativa-marketing,Journal of Business Research,Mishra et al.,2025,Leveraging Machine learning and generative AI for content Engagement: An Exploration of drivers for the success of YouTube videos,10.1016/j.jbusres.2025.115330,11,descartar,"sin-relacion-con-hueco: usa IA generativa para EXTRAER metricas y analizar contenido existente, no para generar contenido"
ia-generativa-marketing,ACM Computing Surveys,Saleh et al.,2025,"Towards Message Brokers for Generative AI: Survey, Challenges, and Opportunities",10.1145/3742891,11,descartar,fuera-de-dominio
ia-generativa-marketing,Internet Research,Zhao et al.,2025,How does generative AI creation capability affect employees' creativity: integrating the transactional theory of stress and personality traits lens,10.1108/intr-10-2024-1628,5,descartar,"sin-relacion-con-hueco: estres laboral de empleados ante la capacidad de creacion de IA generativa, no aplicado a marketing"
ia-generativa-marketing,Information and Software Technology,Stray et al.,2025,What is Generative AI good for? Introduction to the special issue on Generative AI in software engineering,10.1016/j.infsof.2025.107857,4,descartar,fuera-de-dominio
ia-generativa-marketing,ACM Transactions on Computer-Human Interaction,Dangol et al.,2025,Reading AI and Reading the World: Using an Interactive AI System to Promote Children’s Understanding of AI Bias,10.1145/3762807,4,descartar,fuera-de-dominio
ia-generativa-marketing,Behaviour and Information Technology,Luque-Raya et al.,2025,"The social dimension of consumer-AI interaction: alienation, anthropomorphism, and identity in AI-Mediated marketing",10.1080/0144929x.2025.2545313,3,incluir,"dimension social de la interaccion consumidor-IA en el dominio de marketing, diseno experimental directo"
ia-generativa-marketing,ACM Transactions on the Web,Gholamzadeh Nasrabadi et al.,2025,Content Augmented Graph Neural Networks,10.1145/3700790,0,descartar,fuera-de-dominio
ia-generativa-marketing,Journal of the Academy of Marketing Science,Grewal et al.,2024,How generative AI Is shaping the future of marketing,10.1007/s11747-024-01064-3,217,incluir,"vision amplia de como la IA generativa transforma el marketing (texto, imagen, video), articulo de referencia"
ia-generativa-marketing,Journal of the Academy of Marketing Science,Cillo et al.,2024,Generative AI in innovation and marketing processes: A roadmap of research opportunities,10.1007/s11747-024-01044-7,141,incluir,ya preidentificado para SS1.3 y SS2.2
ia-generativa-marketing,Journal of Business Research,Simón et al.,2024,Integrating AI in organizations for value creation through Human-AI teaming: A dynamic-capabilities approach,10.1016/j.jbusres.2024.114783,94,descartar,sin-relacion-con-hueco
ia-generativa-marketing,International Journal of Human-Computer Studies,Du et al.,2024,DeepThInk: Designing and probing human-AI co-creation in digital art therapy,10.1016/j.ijhcs.2023.103139,83,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Journal of Management Information Systems,Saffarizadeh et al.,2024,Relationship Between Trust in the AI Creator and Trust in AI Systems: The Crucial Role of AI Alignment and Steerability,10.1080/07421222.2024.2376382,53,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Computers in Human Behavior,Shen et al.,2024,“I feel AI is neither too good nor too bad”: Unveiling Chinese EFL teachers’ perceived emotions in generative AI-Mediated L2 classes,10.1016/j.chb.2024.108429,53,descartar,fuera-de-dominio
ia-generativa-marketing,Computers in Human Behavior,Yin et al.,2024,"Unleashing pre-service language teachers’ productivity with generative AI: Emotions, appraisal and coping strategies",10.1016/j.chb.2024.108417,44,descartar,fuera-de-dominio
ia-generativa-marketing,ACM Transactions on Software Engineering and Methodology,Russo,2024,Navigating the Complexity of Generative AI Adoption in Software Engineering—RCR Report,10.1145/3680471,24,incluir,"ya preidentificado para SS2.1 y SS3.3 -no es el hueco de este eje, pero valido-"
ia-generativa-marketing,IEEE Transactions on Software Engineering,Dolata et al.,2024,Making Sense of AI Systems Development,10.1109/tse.2023.3338857,11,descartar,fuera-de-dominio
ia-generativa-marketing,Internet Research,Yu et al.,2024,Value co-creation in live streaming through tourism scenes: a contextual marketing perspective,10.1108/intr-05-2023-0362,11,descartar,"fuera-de-dominio: no trata IA generativa, es co-creacion de valor en live streaming turistico"
ia-generativa-marketing,ACM Transactions on Information Systems,Zhou et al.,2024,ROGER: Ranking-Oriented Generative Retrieval,10.1145/3603167,8,descartar,fuera-de-dominio
ia-generativa-marketing,ACM Transactions on Computer-Human Interaction,Procter et al.,2023,Holding AI to Account: Challenges for the Delivery of Trustworthy AI in Healthcare,10.1145/3577009,62,descartar,fuera-de-dominio
ia-generativa-marketing,Information Systems Journal,Davison et al.,2023,Pickled eggs: Generative<scp>AI</scp>as research assistant or co‐author?,10.1111/isj.12455,19,descartar,fuera-de-dominio
ia-generativa-marketing,ACM Transactions on Information Systems,Chen et al.,2023,Multimodal Dialog Systems with Dual Knowledge-enhanced Generative Pretrained Language Model,10.1145/3606368,19,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Empirical Software Engineering,Castanyer et al.,2023,Which design decisions in AI-enabled mobile applications contribute to greener AI?,10.1007/s10664-023-10407-7,17,descartar,fuera-de-dominio
interfaz-conversacional,International Journal of Human-Computer Studies,Laine et al.,2027,"Role-play training based on conversational artificial intelligence and immersive virtual reality: Platform, proof-of-concept, and user study",10.1016/j.ijhcs.2026.103917,0,descartar,sin-relacion-con-hueco
interfaz-conversacional,Computers in Human Behavior,Wang et al.,2027,Gendering conversational AI in human–AI interaction: The role of interaction context and sexist ideology in shaping user evaluations,10.1016/j.chb.2026.109198,0,descartar,sin-relacion-con-hueco
interfaz-conversacional,Computers in Human Behavior,Brailovskaia et al.,2027,"Comparing AI chatbot users and non-users in Germany: Reasons for use, addictive AI chatbot use, mental health, and loneliness",10.1016/j.chb.2026.109199,0,descartar,sin-relacion-con-hueco
interfaz-conversacional,ACM Transactions on Software Engineering and Methodology,Wang et al.,2026,Designing Adaptive User Interfaces for mHealth Applications Targeting Chronic Disease: A User-Centered Approach,10.1145/3731750,17,descartar,fuera-de-dominio
interfaz-conversacional,Journal of Systems and Software,Gaspar-Figueiredo et al.,2026,User experience with adaptive user interfaces: Comparing performance and preferences,10.1016/j.jss.2025.112598,11,descartar,fuera-de-dominio
interfaz-conversacional,ACM Computing Surveys,Soudani et al.,2026,A Survey on Recent Advances in Conversational Data Generation,10.1145/3795686,7,descartar,"sin-relacion-con-hueco: generacion de datos sinteticos de entrenamiento, no diseno de la interfaz"
interfaz-conversacional,IEEE Transactions on Software Engineering,Quattrocchi et al.,2026,Can LLMs Generate User Stories and Assess Their Quality?,10.1109/tse.2026.3670612,6,descartar,fuera-de-dominio
interfaz-conversacional,Computers in Human Behavior,Kober et al.,2026,AI or human? Exploring the effects of user awareness in conversational dynamics with virtual avatars,10.1016/j.chb.2026.108984,5,incluir,"percepcion del usuario al saber (o no) si interactua con IA o humano, relevante al bot de Postly"
interfaz-conversacional,Journal of Systems and Software,Habicht et al.,2026,Benchmarking contextual understanding for in-car conversational systems,10.1016/j.jss.2026.112915,3,descartar,sin-relacion-con-hueco: evaluacion tecnica de QA conversacional en contexto automotor
interfaz-conversacional,Journal of Systems and Software,de Lara et al.,2026,Automated end-to-end testing for conversational agents,10.1016/j.jss.2025.112685,3,incluir,"metodologia de testing automatizado para agentes conversacionales, util para validar el bot de Postly"
interfaz-conversacional,European Journal of Information Systems,Baskerville et al.,2026,MEDS: Methodology for Evaluation in Design Science,10.1080/0960085x.2026.2627280,3,descartar,fuera-de-dominio
interfaz-conversacional,Decision Support Systems,Salminen et al.,2026,AI representing personas representing user groups: Applying the agency theory to examine interaction challenges of conversational personas as decision-making tools,10.1016/j.dss.2026.114633,3,descartar,"sin-relacion-con-hueco: acceso conversacional a personas sinteticas de decision, no gestion de contenido"
interfaz-conversacional,Internet Research,Qiu et al.,2026,AI hinders meaningfulness? Effects of chatbot guidance on service evaluation in product assembly contexts,10.1108/intr-12-2024-2024,2,incluir,"chatbot como guia de una TAREA reemplazando un manual, analogo estructural al bot de Postly"
interfaz-conversacional,ACM Transactions on the Web,Aldous et al.,2026,Understanding User Engagement with Cross-Platform Social Media Content Created by Humans Versus AI: An Evaluation of ChatGPT in Content Marketing,10.1145/3756014,2,incluir,"contenido generado por IA vs. humano en marketing de contenido en redes sociales, ajuste directo al caso de Postly"
interfaz-conversacional,Information and Software Technology,Mäkipää et al.,2026,Accessibility evaluation of interaction modalities and cognitive process of self-service technologies’ user interface in Japan,10.1016/j.infsof.2025.107970,1,descartar,sin-relacion-con-hueco
interfaz-conversacional,European Journal of Information Systems,Chen et al.,2026,Rethinking consumer data management under end-user privacy-enhancing technologies,10.1080/0960085x.2026.2689145,1,descartar,fuera-de-dominio
interfaz-conversacional,Decision Support Systems,Zhou et al.,2026,How chatbot response features influence user adoption: A linguistic signaling perspective,10.1016/j.dss.2026.114734,1,incluir,"senales linguisticas del chatbot que influyen en la adopcion del usuario, teoria de diseno de interfaz conversacional"
interfaz-conversacional,International Journal of Human-Computer Studies,Lee et al.,2026,Empathy in action: An empirical exploration of user perspectives on conversational agent empathy,10.1016/j.ijhcs.2026.103797,1,incluir,framework de empatia del agente conversacional con cuatro rasgos validados
interfaz-conversacional,ACM Transactions on Software Engineering and Methodology,Liu et al.,2026,ProjectEvalPlus: An Agentic Software Engineering Benchmark with Automatic Language Extension and User Simulated Evaluation,10.1145/3817119,0,descartar,fuera-de-dominio
interfaz-conversacional,Journal of Systems and Software,Lassche et al.,2026,Is our chatbot telling lies? Assessing correctness of an LLM-based Dutch support chatbot,10.1016/j.jss.2025.112699,0,incluir,"correccion de un chatbot LLM en produccion, analogo operativo a validar las respuestas del bot de Postly"
interfaz-conversacional,Information Systems Journal,Shi et al.,2026,Accelerating Platform User Growth: Pinduoduo's Multi‐Motivational Selfish Referral Strategy,10.1111/isj.70050,0,descartar,fuera-de-dominio
interfaz-conversacional,Journal of Management Information Systems,Brendel et al.,2026,Artificial Normality: How Conversational Agents’ Perceived Humanness Inhibits Error Attribution and Preserves Satisfaction,10.1080/07421222.2026.2692275,0,incluir,diseno humanlike reduce la atribucion negativa ante errores del agente conversacional
interfaz-conversacional,Decision Support Systems,Xing et al.,2026,Enhancing user satisfaction with healthcare conversational agents: A relational perspective of communication strategy,10.1016/j.dss.2026.114654,0,incluir,"estrategias de comunicacion (convergencia, naturalidad) que mejoran la satisfaccion con un agente conversacional"
interfaz-conversacional,Decision Support Systems,Sun et al.,2026,PFMAR: A multi-agent conversational recommender system for high-involvement products,10.1016/j.dss.2026.114714,0,descartar,sin-relacion-con-hueco
interfaz-conversacional,Behaviour and Information Technology,Duan et al.,2026,How algorithmic responses influence public’s perceptions of corporate social responsibility? An experimental study on conversational AI-enabled chatbot design,10.1080/0144929x.2026.2655876,0,descartar,"sin-relacion-con-hueco: antropomorfismo aplicado a percepcion de RSE corporativa, dominio distinto"
interfaz-conversacional,Journal of Marketing Research,Xue et al.,2026,Picture This: How Review Valence Shapes the Quality and Helpfulness of User-Generated Photos,10.1177/00222437261450925,0,descartar,fuera-de-dominio
interfaz-conversacional,ACM Transactions on Information Systems,Zhang et al.,2026,The Effect of Task Complexity and Domain Expertise on Search Performance and User Behavior in Conversational Exploratory Search,10.1145/3787452,0,descartar,sin-relacion-con-hueco
interfaz-conversacional,ACM Transactions on Information Systems,Siro et al.,2026,AGENT-CQ: Automatic Generation and Evaluation of Clarifying Questions for Conversational Search with Large Language Models,10.1145/3809182,0,descartar,sin-relacion-con-hueco
interfaz-conversacional,International Journal of Human-Computer Studies,Meyer et al.,2025,"LLM-based conversational agents for behaviour change support: A randomised controlled trial examining efficacy, safety, and the role of user behaviour",10.1016/j.ijhcs.2025.103514,28,descartar,"sin-relacion-con-hueco: agente conversacional para cambio de comportamiento en salud, dominio distinto"
interfaz-conversacional,Computers in Human Behavior,Kroczek et al.,2025,The influence of persona and conversational task on social interactions with a LLM-controlled embodied conversational agent,10.1016/j.chb.2025.108759,27,descartar,"sin-relacion-con-hueco: agente encarnado en realidad virtual, modalidad distinta a la interfaz de texto"
interfaz-conversacional,Journal of Business Research,Gyeong Kim et al.,2025,Proposing the “Digital Agenticity Theory” to analyze user engagement in conversational AI chatbot,10.1016/j.jbusres.2024.115162,14,dudoso,
interfaz-conversacional,International Journal of Human-Computer Studies,Bergström et al.,2025,DIRA: A model of the user interface,10.1016/j.ijhcs.2024.103381,12,descartar,fuera-de-dominio
interfaz-conversacional,Empirical Software Engineering,Gaspar-Figueiredo et al.,2025,A comparative study on reward models for user interface adaptation with reinforcement learning,10.1007/s10664-025-10659-5,10,descartar,fuera-de-dominio
interfaz-conversacional,Journal of Management Information Systems,Schneider et al.,2025,Mixed Signals: The Effects of Online Rating Discrepancy on User Trust,10.1080/07421222.2025.2520178,7,descartar,fuera-de-dominio
interfaz-conversacional,ACM Transactions on Computer-Human Interaction,Rasouli et al.,2025,Co-Design and User Evaluation of a Robotic Mental Well-Being Coach to Support University Students’ Public Speaking Anxiety,10.1145/3718084,7,descartar,sin-relacion-con-hueco
interfaz-conversacional,Empirical Software Engineering,Ehsani et al.,2025,"What characteristics make ChatGPT effective for software issue resolution? An empirical study of task, project, and conversational signals in GitHub issues",10.1007/s10664-025-10745-8,5,descartar,fuera-de-dominio
interfaz-conversacional,ACM Transactions on Software Engineering and Methodology,Silva et al.,2025,Privacy in Chatbot Conversation-Driven Development: A Comprehensive Review and Requirements Proposal,10.1145/3730578,5,descartar,"sin-relacion-con-hueco: foco en privacidad y practicas de desarrollo, no en el diseno de la interaccion"
interfaz-conversacional,ACM Computing Surveys,Giudici et al.,2025,Persuasive Conversational Agents for Environmental Sustainability: A Survey,10.1145/3774751,5,descartar,"sin-relacion-con-hueco: agentes conversacionales para sostenibilidad ambiental, dominio distinto"
interfaz-conversacional,Information and Software Technology,Wasilewski et al.,2025,Practical assessment of the e-commerce multivariant user interface,10.1016/j.infsof.2025.107684,2,descartar,fuera-de-dominio
interfaz-conversacional,Information and Software Technology,Yenişen Yavuz et al.,2025,Why and how do organizations create user-led open source consortia? A systematic literature review,10.1016/j.infsof.2025.107681,2,descartar,fuera-de-dominio
interfaz-conversacional,Internet Research,Li et al.,2025,The impact of prior chatbot identity disclosure on customer tolerance of service failures,10.1108/intr-11-2023-1073,2,incluir,"efecto de revelar la identidad del chatbot en la tolerancia del usuario, tema de transparencia conversacional"
interfaz-conversacional,Information Systems Journal,Saffarizadeh et al.,2025,"Conversational
                    <scp>AI</scp>
                    Agents: The Effect of Process and Outcome Variation on Anthropomorphism and Trust",10.1111/isj.70017,1,incluir,"variacion de proceso y resultado en agentes conversacionales, antropomorfismo y confianza"
interfaz-conversacional,ACM Transactions on Computer-Human Interaction,Figueiredo,2025,Designing Smarter Conversational Agents for Kids: Lessons from Cognitive Work and Means-Ends Analyses,10.1145/3765284,1,descartar,"sin-relacion-con-hueco: poblacion infantil y contexto escolar, alejado del caso de uso de Postly"
interfaz-conversacional,IEEE Transactions on Software Engineering,Fakhoury et al.,2024,LLM-Based Test-Driven Interactive Code Generation: User Study and Empirical Evaluation,10.1109/tse.2024.3428972,122,incluir,"preidentificado para SS3.7.3 -humano en el bucle en generacion de codigo-, no SS7.1, pero valido"
interfaz-conversacional,Journal of Business Research,Sun et al.,2024,"Chatbot ads with a human touch: A test of anthropomorphism, interactivity, and narrativity",10.1016/j.jbusres.2023.114403,101,incluir,"preidentificado para SS7.1 -antropomorfismo, interactividad y narratividad en chatbot ads-"
interfaz-conversacional,Internet Research,Jin et al.,2024,Bridging the health literacy gap through AI chatbot design: the impact of gender and doctor cues on chatbot trust and acceptance,10.1108/intr-08-2023-0702,40,descartar,"sin-relacion-con-hueco: chatbot de salud, cues de genero/medico, alejado de la interfaz de publicacion"
interfaz-conversacional,Information Systems Journal,Meier et al.,2024,Chatbot interactions: How consumption values and disruptive situations influence customers' willingness to interact,10.1111/isj.12507,34,descartar,sin-relacion-con-hueco: efecto de una disrupcion externa (COVID) sobre la disposicion a usar chatbots
interfaz-conversacional,Journal of Marketing Research,Paschmann et al.,2024,Driving Mobile App User Engagement Through Gamification,10.1177/00222437241275927,31,descartar,fuera-de-dominio
interfaz-conversacional,Journal of Business Research,Yoganathan et al.,2024,The mind in the machine: Estimating mind perception's effect on user satisfaction with voice-based conversational agents,10.1016/j.jbusres.2024.114573,28,descartar,"sin-relacion-con-hueco: agentes de VOZ, modalidad distinta a la interfaz de texto de Postly"
interfaz-conversacional,Journal of Management Information Systems,Sachdeva et al.,2024,Taking the Chat out of Chatbot? Collecting User Reviews with Chatbots and Web Forms,10.1080/07421222.2023.2301175,23,incluir,"compara chatbot vs. formulario web para recolectar datos, justifica directamente elegir una interfaz conversacional"
interfaz-conversacional,Journal of Marketing Research,Lanz et al.,2024,Buying Future Endorsements from Prospective Influencers on User-Generated Content Platforms,10.1177/00222437231207323,23,descartar,fuera-de-dominio
interfaz-conversacional,ACM Transactions on Software Engineering and Methodology,Cañizares et al.,2024,Measuring and Clustering Heterogeneous Chatbot Designs,10.1145/3637228,20,incluir,"taxonomia de disenos de chatbot, marco para situar el diseno del bot de Postly"
interfaz-conversacional,Behaviour and Information Technology,Chhabra et al.,2024,Determining the causes of user frustration in the case of conversational chatbots,10.1080/0144929x.2024.2362956,20,incluir,causas de la frustracion del usuario con chatbots conversacionales
interfaz-conversacional,ACM Transactions on Computer-Human Interaction,Følstad et al.,2024,Conversational Breakdown in a Customer Service Chatbot: Impact of Task Order and Criticality on User Trust and Emotion,10.1145/3690383,18,incluir,impacto de una ruptura conversacional (breakdown) en confianza y emocion del usuario
interfaz-conversacional,Journal of the Academy of Marketing Science,Tsekouras et al.,2024,The robo bias in conversational reviews: How the solicitation medium anthropomorphism affects product rating valence and review helpfulness,10.1007/s11747-024-01027-8,18,descartar,sin-relacion-con-hueco
interfaz-conversacional,ACM Computing Surveys,Lambiase et al.,2024,"Motivations, Challenges, Best Practices, and Benefits for Bots and Conversational Agents in Software Engineering: A Multivocal Literature Review",10.1145/3704806,18,descartar,"sin-relacion-con-hueco: bots en el dominio de ingenieria de software (CI/CD, revision de codigo), no gestion de contenido"
interfaz-conversacional,Empirical Software Engineering,Mailach et al.,2024,"“Ok Pal, we have to code that now”: interaction patterns of programming beginners with a conversational chatbot",10.1007/s10664-024-10561-6,15,descartar,"sin-relacion-con-hueco: contexto educativo de programacion, dominio distinto"
interfaz-conversacional,ACM Transactions on the Web,Rana et al.,2024,User Experience and the Role of Personalization in Critiquing-Based Conversational Recommendation,10.1145/3597499,12,descartar,sin-relacion-con-hueco
interfaz-conversacional,ACM Transactions on Information Systems,Jarvelin et al.,2024,A Blueprint of IR Evaluation Integrating Task and User Characteristics,10.1145/3675162,7,descartar,fuera-de-dominio
interfaz-conversacional,Internet Research,Zhang et al.,2024,Biased processing of political fact-checks on social media: testing the effects of user comments and partisan worldview on misbeliefs and political candidate evaluation,10.1108/intr-06-2024-0890,6,descartar,fuera-de-dominio
interfaz-conversacional,Journal of the Academy of Marketing Science,Wang et al.,2024,Shifting perspectives: How communicating user innovations’ self-focus enhances adoption,10.1007/s11747-024-01068-z,2,descartar,fuera-de-dominio
interfaz-conversacional,ACM Transactions on the Web,Lei et al.,2024,Special Issue on Conversational Information Seeking,10.1145/3688392,1,descartar,sin-relacion-con-hueco
interfaz-conversacional,Journal of Business Research,Zogaj et al.,2023,It’s a Match! The effects of chatbot anthropomorphization and chatbot gender on consumer behavior,10.1016/j.jbusres.2022.113412,101,incluir,preidentificado para SS7.1 -antropomorfizacion y genero del chatbot-
interfaz-conversacional,ACM Transactions on Computer-Human Interaction,You et al.,2023,Beyond Self-diagnosis: How a Chatbot-based Symptom Checker Should Respond,10.1145/3589959,64,descartar,sin-relacion-con-hueco
interfaz-conversacional,ACM Computing Surveys,Catania et al.,2023,Conversational Agents in Therapeutic Interventions for Neurodevelopmental Disorders: A Survey,10.1145/3564269,51,descartar,sin-relacion-con-hueco
interfaz-conversacional,Journal of Management Information Systems,Brendel et al.,2023,The Paradoxical Role of Humanness in Aggression Toward Conversational Agents,10.1080/07421222.2023.2229127,48,incluir,"agresion del usuario hacia agentes conversacionales ante errores, relevante para el manejo de fallas del bot"
interfaz-conversacional,Journal of the Academy of Marketing Science,Schindler et al.,2023,How speaking versus writing to conversational agents shapes consumers’ choice and choice satisfaction,10.1007/s11747-023-00987-7,45,incluir,"voz vs. texto segun el tipo de producto, justifica la eleccion de modalidad (Telegram/texto) de Postly"
interfaz-conversacional,Journal of Marketing Research,Liu et al.,2023,The Daily Me Versus the Daily Others: How Do Recommendation Algorithms Change User Interests? Evidence from a Knowledge-Sharing Platform,10.1177/00222437221134237,41,descartar,fuera-de-dominio
interfaz-conversacional,Journal of the Academy of Marketing Science,Hochstein et al.,2023,Toward a theory of consumer digital trust: Meta-analytic evidence of its role in the effectiveness of user-generated content,10.1007/s11747-023-00982-y,32,descartar,fuera-de-dominio
interfaz-conversacional,European Journal of Information Systems,Dickhaut et al.,2023,Lawfulness by design – development and evaluation of lawful design patterns to consider legal requirements,10.1080/0960085x.2023.2174050,23,descartar,sin-relacion-con-hueco
interfaz-conversacional,ACM Transactions on Information Systems,Siro et al.,2023,Understanding and Predicting User Satisfaction with Conversational Recommender Systems,10.1145/3624989,20,descartar,sin-relacion-con-hueco
interfaz-conversacional,IEEE Transactions on Software Engineering,Ren et al.,2023,Using the SOCIO Chatbot for UML Modelling: A Family of Experiments,10.1109/tse.2022.3150720,16,descartar,sin-relacion-con-hueco
interfaz-conversacional,Information and Software Technology,Leinonen et al.,2023,Service Design Handover to user experience design – a systematic literature review,10.1016/j.infsof.2022.107087,14,descartar,fuera-de-dominio
interfaz-conversacional,Information Systems Journal,Zhang et al.,2023,A configurational perspective on design elements and user governance engagement in blockchain platforms,10.1111/isj.12494,13,descartar,fuera-de-dominio
interfaz-conversacional,Empirical Software Engineering,Kaleeswaran et al.,2023,A user study for evaluation of formal verification results and their explanation at Bosch,10.1007/s10664-023-10353-4,10,descartar,fuera-de-dominio
interfaz-conversacional,Behaviour and Information Technology,Podina et al.,2023,Screening for common mental health disorders: a psychometric evaluation of a chatbot system,10.1080/0144929x.2023.2275164,9,descartar,sin-relacion-con-hueco
interfaz-conversacional,IEEE Transactions on Software Engineering,Jesse et al.,2023,Learning to Predict User-Defined Types,10.1109/tse.2022.3178945,8,descartar,fuera-de-dominio
interfaz-conversacional,ACM Transactions on the Web,Wang et al.,2023,Enhancing Conversational Recommendation Systems with Representation Fusion,10.1145/3577034,7,descartar,sin-relacion-con-hueco
microemprendimiento,ACM Computing Surveys,Philipo et al.,2026,"Cyberbullying Detection: Exploring Datasets, Technologies, and Approaches on Social Media Platforms",10.1145/3785654,9,descartar,fuera-de-dominio
microemprendimiento,Journal of Systems and Software,Li et al.,2026,Do comments and expertise still matter? An experiment on programmers’ adoption of AI-generated JavaScript code,10.1016/j.jss.2025.112634,5,descartar,fuera-de-dominio
microemprendimiento,Empirical Software Engineering,Lambiase et al.,2026,Quantifying adoption: A SEM study of quantum software technology in software development,10.1007/s10664-026-10805-7,3,descartar,fuera-de-dominio
microemprendimiento,Information and Software Technology,Shao et al.,2026,Empirical analysis of generative AI tool adoption in software development,10.1016/j.infsof.2026.108036,3,descartar,fuera-de-dominio
microemprendimiento,ACM Transactions on Software Engineering and Methodology,Robbes et al.,2026,Agentic Much? Adoption of Coding Agents on GitHub,10.1145/3822180,3,descartar,fuera-de-dominio
microemprendimiento,Journal of Marketing Research,Winkler et al.,2026,"Separating the Artist from the Art: Social Media Boycotts, Platform Sanctions, and Music Consumption",10.1177/00222437261445841,3,descartar,sin-relacion-con-hueco
microemprendimiento,Journal of Marketing Research,Deolankar et al.,2026,The Effect of Downvotes on Content Creation: Evidence from Social Media,10.1177/00222437261417657,3,descartar,sin-relacion-con-hueco
microemprendimiento,Computers in Human Behavior,Wamba-Taguimdje et al.,2026,From FoMO to learning: How social media characteristics drive explorative and exploitative use and foster sustainable social relationships in micro-learning activities,10.1016/j.chb.2026.108993,2,descartar,fuera-de-dominio
microemprendimiento,ACM Transactions on Software Engineering and Methodology,Happe et al.,2026,Can LLMs Hack Enterprise Networks? — RCR Report,10.1145/3800584,1,descartar,fuera-de-dominio
microemprendimiento,European Journal of Information Systems,Karami et al.,2026,Deterrence effects of social media interventions on health misinformation dissemination by bots and humans,10.1080/0960085x.2026.2620412,1,descartar,fuera-de-dominio
microemprendimiento,Decision Support Systems,Huo et al.,2026,"How social cues mitigate advertising intrusiveness on social media: Heterogeneous cues, mechanisms, and conditions",10.1016/j.dss.2026.114650,1,dudoso,
microemprendimiento,Empirical Software Engineering,Lambiase et al.,2026,From values to adoption: on the role of individual cultural values on fairness toolkit adoption in software development,10.1007/s10664-026-10902-7,0,descartar,fuera-de-dominio
microemprendimiento,Information and Software Technology,Oruthotaarachchi et al.,2026,Beyond code: What system development team values in enterprise software,10.1016/j.infsof.2026.108178,0,descartar,fuera-de-dominio
microemprendimiento,IEEE Transactions on Software Engineering,Yu et al.,2026,A Framework for Evaluating GenAI Adoption and Use in Software Engineering,10.1109/tse.2026.3688745,0,descartar,fuera-de-dominio
microemprendimiento,Journal of Systems and Software,Knutsen et al.,2026,Exploring agile practice adoption: A survey in the Norwegian public sector,10.1016/j.jss.2026.112940,0,descartar,fuera-de-dominio
microemprendimiento,Information Systems Journal,Lee et al.,2026,Entangling and Coalescing on Social Media: A Study of Issue Boundary Spanning in Movement of Movements,10.1111/isj.70052,0,descartar,fuera-de-dominio
microemprendimiento,Information Systems Journal,Lindström et al.,2026,Equity–Equality Tensions in Police Social Media Communication With Socially Disadvantaged Neighbourhoods: The Case of Instagram,10.1111/isj.70048,0,descartar,fuera-de-dominio
microemprendimiento,European Journal of Information Systems,Matook et al.,2026,Clicks and gazes: investigating the impact of social-relational goals and media capabilities on active and passive social media use,10.1080/0960085x.2026.2714833,0,descartar,sin-relacion-con-hueco
microemprendimiento,International Journal of Human-Computer Studies,Fabbri et al.,2026,Feeding the (short-video) feed: a design proposal for user control of social media recommender systems under the Digital Services Act,10.1016/j.ijhcs.2026.103811,0,descartar,fuera-de-dominio
microemprendimiento,Behaviour and Information Technology,Zoonen et al.,2026,From knowledge to feelings: the influence of enterprise social media on metaemotion and deep acting among employees,10.1080/0144929x.2026.2614045,0,descartar,fuera-de-dominio
microemprendimiento,Journal of Business Research,Wang et al.,2026,Older employees in the new workplace: Understanding how intergenerational supportive climate impacts intergenerational knowledge transfer in enterprise social media,10.1016/j.jbusres.2026.116344,0,descartar,fuera-de-dominio
microemprendimiento,ACM Computing Surveys,Xiong et al.,2026,"Large Language Models and Social Media Information Integrity: Opportunities, Challenges, and Research Directions",10.1145/3839233,0,descartar,sin-relacion-con-hueco
microemprendimiento,ACM Transactions on the Web,Chhikara et al.,2026,Evaluating Summaries of Social Media Posts: Balancing Fairness for Readers and Authors,10.1145/3833377,0,descartar,fuera-de-dominio
microemprendimiento,ACM Transactions on the Web,Mahrous et al.,2026,FinMoji: A Framework for Emoji-driven Sentiment Analysis in Financial Social Media,10.1145/3829331,0,descartar,fuera-de-dominio
microemprendimiento,ACM Computing Surveys,Mane et al.,2025,A Survey on Online Aggression: Content Detection and Behavioral Analysis on Social Media,10.1145/3711125,23,descartar,fuera-de-dominio
